# Periodic data           
#Data obtained from http://www.physics.nist.gov/PhysRefData/Elements/cover.html           
#Atom radi from Atomic radii and covalent radii, "Chemical Systems," Chemical Bond Approach Project (1964), McGraw-Hill           
#(see http://dl.clackamas.cc.or.us/ch104-07/atomic_size.htm)           
name symbol number row col density vdw_radius bond_radius artificial red green blue
str str int int int g/cm**3 a.u. A bool float float float
Protactinium Pa 91 10 5 NA 1.81 NA False NA NA NA
Uranium U 92 10 6 18.7 1.78 NA False NA NA NA
Neptunium Np 93 10 7 NA 1.75 NA True NA NA NA
Plutonium Pu 94 10 8 NA 0.2 NA True NA NA NA
Americium Am 95 10 9 NA 1.71 NA True NA NA NA
Curium Cm 96 10 10 NA 0.2 NA True NA NA NA
Berkelium Bk 97 10 11 NA 0.2 NA True NA NA NA
Californium Cf 98 10 12 NA 1.73 NA True NA NA NA
Einsteinium E 99 10 13 NA 0.1 NA True NA NA NA
Fermium Fm 100 10 14 NA 0.2 NA True NA NA NA
Mendelevium Mv 101 10 15 NA NA NA True NA NA NA
Nobelium No 102 10 16 NA NA NA True NA NA NA
Lawrencium Lr 103 10 17 NA NA NA True NA NA NA
Rutherfordium Rf 104 7 4 NA NA NA True NA NA NA
Dubnium Db 105 7 5 NA NA NA True NA NA NA
Seaborgium Sg 106 7 6 NA NA NA True NA NA NA
Bohrium Bh 107 7 7 NA NA NA True NA NA NA
Hassium Hs 108 7 8 NA NA NA True NA NA NA
Meitnerium Mt 109 7 9 NA NA NA True NA NA NA
Ununnilium Uun 110 7 10 NA NA NA True NA NA NA
Unununium Uuu 111 7 11 NA NA NA True NA NA NA
Ununbium Uub 112 7 12 NA NA NA True NA NA NA
Ununtrium Uut 113 7 13 NA NA NA True NA NA NA
Ununquadium Uuq 114 7 14 NA NA NA True NA NA NA
Ununpentium Uup 115 7 15 NA NA NA True NA NA NA
Ununhexium Uuh 116 7 16 NA NA NA True NA NA NA
Ununseptium Uus 117 7 17 NA NA NA True NA NA NA
Ununoctium Uuo 118 7 18 NA NA NA True NA NA NA
